COUNTRY,WEEK_START,EVENTS,TOTAL_MENTIONS,TOTAL_ARTICLES,AVG_TONE,AVG_GOLDSTEIN,LAT_CENTROID,LONG_CENTROID
GH,2014-12-29,4,20,20,-1.8613701424067006,-4.25,6.812365,-1.0957835
GH,2015-01-05,6,28,28,-2.2349032442130019,-3.7499999999999996,7.5065616666666664,-1.7488711666666665
GH,2015-01-12,6,37,37,-6.9451861778951178,-5.5,6.9638883333333332,-1.3416673333333331
GH,2015-01-19,17,109,109,-3.7948985921601346,-5.5882352941176467,7.1705882352941179,-1.386274588235294
GH,2015-01-26,20,108,108,-2.2361561116940942,-4.875,6.225337509536744,-0.9448401498239517
GH,2015-02-02,27,132,132,-4.2575302053530271,-5.55925925925926,6.4755785185185193,-1.3193663333333332
GH,2015-02-09,22,152,152,-3.6977589982317869,-6.954545454545455,6.9681881818181814,-1.1673639090909091
GH,2015-02-16,730,4362,4318,-2.9393671371399068,-5.0089041095890421,6.9160882191780821,-1.2161345082191779
GH,2015-02-23,1365,7738,7650,-2.7070478918829259,-4.9070329670329667,6.8597183079884294,-1.1119927575423212
GH,2015-03-02,1449,8087,8012,-3.157571985954966,-4.9008281573498973,6.8355098349366532,-1.1473894327195746
GH,2015-03-09,1451,8467,8366,-3.2622928019689352,-4.9980013783597528,6.853395058580289,-1.2193698835286007
GH,2015-03-16,1139,5987,5937,-3.0373491766904288,-4.7978050921861275,6.8563839683933274,-1.2123468542581204
GH,2015-03-23,1123,6560,6510,-2.8159102422318867,-4.7245770258236863,6.8934118699910973,-1.1245742956366875
GH,2015-03-30,977,5336,5303,-2.043769869754188,-5.0129989764585492,6.761370450358239,-1.1632312732855676
GH,2015-04-06,1071,5699,5637,-2.3580208043568516,-4.7616246498599439,6.8735667040149391,-1.0879835779645193
GH,2015-04-13,1573,8993,8932,-3.7415489207597692,-5.0607755880483172,6.9838505149396051,-1.3191112129688494
GH,2015-04-20,1521,8006,7941,-3.8383072181829094,-5.2551610782379994,6.9363917159763311,-1.2473549388560159
GH,2015-04-27,1280,7123,7021,-3.0070192788630266,-5.001875,7.0282974375,-1.2631607265625
GH,2015-05-04,1206,6601,6506,-3.8202861395038448,-4.8636815920398,6.8184851741293544,-1.2308100356550578
GH,2015-05-11,1382,8211,8166,-3.463263007591407,-4.9892185238784368,7.0135998552822008,-1.1657820658465987
GH,2015-05-18,1463,8068,8001,-3.4355395441094725,-5.0592617908407362,7.1443051127819528,-1.1679427559808613
GH,2015-05-25,1251,6573,6506,-3.4798833075735507,-5.3064748201438841,7.0693213908872909,-1.0718593477218226
GH,2015-06-01,1116,6396,6348,-3.8468131503668204,-5.2081541218637986,6.6890640591397856,-1.0120253664874552
GH,2015-06-08,1330,7424,7332,-3.1734519563310433,-4.8194736842105259,6.7198456015037591,-0.9914171127819551
GH,2015-06-15,1188,6628,6577,-3.1137816706376524,-4.870454545454546,6.7240211531986525,-1.0396097811447809
GH,2015-06-22,1580,9770,9707,-4.5630188573362043,-5.0505696202531647,6.667562341772153,-1.0409471405063291
GH,2015-06-29,1126,6597,6566,-3.0517039964238557,-4.8655417406749546,6.8066788543516887,-1.2074953250444049
GH,2015-07-06,1298,7302,7239,-3.9471825558381286,-4.8807395993836682,7.1332758243451471,-1.0686492280431432
GH,2015-07-13,1370,7899,7751,-3.40825193099029,-4.7175182481751836,6.9026781313868621,-1.0022744459854014
GH,2015-07-20,1120,6272,6217,-2.9885993535868347,-4.985,6.7643122500000015,-1.1031052678571427
GH,2015-07-27,1346,7994,7854,-3.5579388043094138,-5.1233283803863294,6.8717174442793461,-1.1102154427934621
GH,2015-08-03,1338,8223,8098,-3.268131007160727,-5.078475336322871,6.9230883557548584,-1.1500494252615847
GH,2015-08-10,1432,8320,8244,-3.2975754072606187,-4.9852653631284909,7.0376542807262563,-1.2094922758379887
GH,2015-08-17,1278,7376,7259,-3.378909464666116,-4.9331768388106427,6.9022169483568083,-1.1226469147104849
GH,2015-08-24,1345,7693,7552,-2.77063546775755,-4.4731598513011148,6.8914097843866164,-1.0178575204460969
